step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
26,400,26,1,52,0.1200122683,0.1159496735;0.09551613123;0.1485710003,0.1269648202;0.1130597165,biomass;glucose;product,T_run_1;T_run_2,0.004979,0,,,0.1200122683,0.004979,0.008792404426,0,
27,400,27,1,54,0.1188891207,0.1147582528;0.09466694523;0.1472421639,0.1257842627;0.1119939786,biomass;glucose;product,T_run_1;T_run_2,0.004975,0,,,0.1188891207,0.004975,0.009112052606,0,
28,400,28,1,56,0.1177222925,0.1135182733;0.09378535886;0.1458632453,0.124556526;0.1108880589,biomass;glucose;product,T_run_1;T_run_2,0.004548,0,,,0.1177222925,0.004548,0.00944089239,0,
29,400,29,1,58,0.116510501,0.1122283424;0.09287037434;0.1444327861,0.1232799693;0.1097410326,biomass;glucose;product,T_run_1;T_run_2,0.005417,0,,,0.116510501,0.005417,0.009778690784,0,
30,400,30,1,60,0.1152524932,0.1108871072;0.0919209925;0.1429493799,0.1219529808;0.1085520056,biomass;glucose;product,T_run_1;T_run_2,0.004898,0,,,0.1152524932,0.004898,0.01012511526,0,
31,400,31,1,62,0.1139470452,0.1094932614;0.09093620869;0.1414116656,0.1073201151;0.1205739754,biomass;glucose;product,T_run_2;T_run_1,0.005513,0,,,0.1139470452,0.005513,0.01047972667,0,
32,400,32,1,64,0.1125929615,0.1080455618;0.08991500743;0.1398183152,0.1191413626;0.1060445603,biomass;glucose;product,T_run_1;T_run_2,0.004121,0,,,0.1125929615,0.004121,0.01084199888,0,
33,400,33,1,66,0.1111890686,0.106542842;0.08885635054;0.1381680133,0.1047246208;0.1176535164,biomass;glucose;product,T_run_2;T_run_1,0.005118,0,,,0.1111890686,0.005118,0.0112113503,0,
34,400,34,1,68,0.1097342085,0.1049840265;0.08775916287;0.1364594362,0.1033596771;0.1161087399,biomass;glucose;product,T_run_2;T_run_1,0.005372,0,,,0.1097342085,0.005372,0.0115871706,0,
35,400,35,1,70,0.1082272352,0.1033681492;0.08662232367;0.1346912326,0.1019492159;0.1145052544,biomass;glucose;product,T_run_2;T_run_1,0.004798,0,,,0.1082272352,0.004798,0.01196884355,0,
36,400,36,1,72,0.1066670047,0.1016943612;0.08544465798;0.132861995,0.1128411913;0.1004928182,biomass;glucose;product,T_run_1;T_run_2,0.005009,0,,,0.1066670047,0.005009,0.0123557901,0,
