process,total,biomass,glucose,product,gp_nll,split
T_run_1,0.000834191,0.000596618,0.0010283,0.000204825,0.00150702,train
T_run_2,0.00141955,0.00122296,0.00212117,0.000827067,0.00150702,train
total (mean),0.00112687,0.000909789,0.00157473,0.000515946,0.00150702,
train (mean),0.00112687,0.000909789,0.00157473,0.000515946,0.00150702,train
