process,total,biomass,glucose,product,gp_nll,split
run_1,0.00360312,0.00133064,0.00397673,0.00146095,0.00764415,train
run_2,0.00433423,0.00222672,0.00542021,0.00204584,0.00764415,train
run_3,0.00695426,0.00461671,0.0111394,0.00441679,0.00764415,train
total (mean),0.00496387,0.00272469,0.00684544,0.00264119,0.00764415,
train (mean),0.00496387,0.00272469,0.00684544,0.00264119,0.00764415,train
