step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
23,800,23,1,69,1.882089771,0.00517882887;0.01510184859;0.003927851053;7.504150556,1.88060365;1.881358022;1.884307641,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.601720,0,,,1.882089771,6.601720,1.826730675,0,
24,800,24,1,72,1.863122589,0.004512732822;0.01465977221;0.003557359622;7.429760492,1.862496088;1.861953704;1.864917976,biomass;glucose;product;gp_nll,run_2;run_1;run_3,6.177742,0,,,1.863122589,6.177742,1.808474163,0,
25,800,25,1,75,1.844467491,0.003963150807;0.01425499454;0.00326351798;7.3563883,1.84391362;1.845926089;1.843562763,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.944199,0,,,1.844467491,6.944199,1.790481774,0,
26,800,26,1,78,1.826115724,0.003515739626;0.01388309043;0.003036521515;7.284027543,1.825607298;1.82731091;1.825428963,biomass;glucose;product;gp_nll,run_2;run_3;run_1,7.549310,0,,,1.826115724,7.549310,1.772737477,0,
27,800,27,1,81,1.808058558,0.0031565714;0.01354023958;0.002866885696;7.212670535,1.807550104;1.807573465;1.809052105,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.991955,0,,,1.808058558,6.991955,1.755229677,0,
28,800,28,1,84,1.79028754,0.002872926066;0.01322295014;0.002745859021;7.142308423,1.789923689;1.791130835;1.789808095,biomass;glucose;product;gp_nll,run_1;run_3;run_2,6.448808,0,,,1.79028754,6.448808,1.737950147,0,
29,800,29,1,87,1.77279455,0.002653053799;0.01292840455;0.002665439061;7.072931302,1.773529743;1.772546955;1.772306952,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.546967,0,,,1.77279455,7.546967,1.720893447,0,
30,800,30,1,90,1.755571936,0.00248664292;0.0126541673;0.002618593596;7.004528342,1.75623326;1.755416891;1.755065658,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.364006,0,,,1.755571936,7.364006,1.704056108,0,
31,800,31,1,93,1.738612529,0.00236476958;0.01239818715;0.002599246031;6.937087915,1.738530346;1.739227503;1.738079739,biomass;glucose;product;gp_nll,run_1;run_3;run_2,8.061410,0,,,1.738612529,8.061410,1.687435802,0,
32,800,32,1,96,1.721909593,0.002279773757;0.0121586856;0.002602184334;6.87059773,1.721344676;1.721883973;1.72250013,biomass;glucose;product;gp_nll,run_2;run_1;run_3,8.067798,0,,,1.721909593,8.067798,1.671030873,0,
33,800,33,1,99,1.705456809,0.00222515052;0.01193414004;0.002622994787;6.80504495,1.704855944;1.705474313;1.70604017,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.100999,0,,,1.705456809,7.100999,1.654839965,0,
34,800,34,1,102,1.68924823,0.00219541127;0.01172323463;0.002657967241;6.740416308,1.689837847;1.688609032;1.689297811,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.502849,0,,,1.68924823,7.502849,1.638861794,0,
