step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
11,400,11,1,286,0.05573140443,0.06527805695;0.03469326942;0.06722288693,0.04204821577;0.01648862853;0.08160562651;0.07277660845;0.01778735114;0.02612594101;0.08609218716;0.04621218763;0.1666833359;0.0401811862;0.04456992384;0.0360647197;0.04033028976;0.1109226448;0.01407361824;0.03368943443;0.08980167711;0.01063300102;0.01232353392;0.08549822209;0.03149402898;0.04200847666;0.04093468262;0.06602897412;0.09986692013;0.09477509952,biomass;glucose;product,H3_run_6;H2_run_4;H3_run_4;H1_run_2;H4_run_2;H2_run_2;H2_run_1;H1_run_4;H1_run_6;H3_run_2;H2_run_6;T_run_2;T_run_1;H1_run_3;H3_run_3;H4_run_3;H4_run_5;H4_run_6;H2_run_5;H4_run_4;H1_run_1;H3_run_1;H4_run_1;H2_run_3;H3_run_5;H1_run_5,0.046207,0,,,0.05573140443,0.046207,0.003537757408,0,
12,400,12,1,312,0.05531155488,0.06473246175;0.0344584194;0.06674378348,0.03983630301;0.04040562316;0.03110752988;0.04600515647;0.08514215329;0.08894744688;0.09434884115;0.1657095826;0.01217799842;0.01401942618;0.04180863426;0.01630109598;0.01760260737;0.01052459822;0.044072617;0.03584157232;0.08469807935;0.07236241032;0.02580423753;0.03336871903;0.09921163663;0.1104229613;0.08124292962;0.04007210057;0.0418130571;0.0652531092,biomass;glucose;product,H3_run_2;H4_run_1;H1_run_1;H1_run_4;H2_run_1;H4_run_5;H1_run_5;H1_run_6;H2_run_5;H3_run_3;H3_run_1;H2_run_4;H4_run_2;H4_run_6;H2_run_6;T_run_2;H4_run_4;H1_run_2;H2_run_2;H4_run_3;H3_run_5;H1_run_3;H3_run_4;T_run_1;H3_run_6;H2_run_3,0.046131,0,,,0.05531155488,0.046131,0.003702659857,0,
13,400,13,1,338,0.05487258253,0.0641617894;0.03421279384;0.06624316435,0.0174082133;0.0985327324;0.03303115142;0.04578751089;0.02546842507;0.03070954234;0.06444143224;0.08086419417;0.1646924893;0.04156871896;0.01610357937;0.08805208155;0.01202514278;0.01041068656;0.0939009752;0.08385882851;0.08414672234;0.1098982206;0.01396260479;0.04354979874;0.03560654121;0.0398004256;0.04160043072;0.07192956255;0.03985677528;0.03948035986,biomass;glucose;product,H4_run_2;H3_run_5;H4_run_3;H1_run_4;H2_run_2;H1_run_1;H2_run_3;H3_run_4;H1_run_6;H3_run_6;H2_run_4;H4_run_5;H2_run_5;H4_run_6;H1_run_5;H4_run_4;H2_run_1;H1_run_3;H3_run_3;H2_run_6;T_run_2;T_run_1;H3_run_1;H1_run_2;H4_run_1;H3_run_2,0.149600,0,,,0.05487258253,0.149600,0.003874437773,0,
14,400,14,1,364,0.05441353841,0.06356487423;0.03395583336;0.06571990762,0.04138337799;0.04555859229;0.02511780943;0.0395144229;0.1093469721;0.03267579146;0.01720363747;0.08711375071;0.0353588836;0.03928734113;0.08046856198;0.08310401272;0.09343024204;0.08297861866;0.04131467057;0.0118645638;0.01589553727;0.06359258863;0.09782913042;0.1636300411;0.01029094416;0.04300018457;0.07147705535;0.03029950364;0.01390299387;0.03911277072,biomass;glucose;product,H3_run_1;H1_run_4;H2_run_2;T_run_1;H1_run_3;H4_run_3;H4_run_2;H4_run_5;T_run_2;H4_run_1;H3_run_4;H2_run_1;H1_run_5;H4_run_4;H3_run_6;H2_run_5;H2_run_4;H2_run_3;H3_run_5;H1_run_6;H4_run_6;H2_run_6;H1_run_2;H1_run_1;H3_run_3;H3_run_2,0.050437,0,,,0.05441353841,0.050437,0.004053033072,0,
15,400,15,1,390,0.05393348818,0.06294057503;0.03368697975;0.06517290976,0.09709978647;0.08005518807;0.03230169415;0.04105041492;0.03509783107;0.01384043489;0.04531773181;0.09293535995;0.08205558974;0.1087677355;0.06270528803;0.07100390325;0.01698835832;0.08201216649;0.03869659632;0.1625202047;0.03873300418;0.02987691888;0.0247517466;0.04115701275;0.08613063021;0.01169587611;0.03921322298;0.0156764405;0.01016505983;0.04242249697,biomass;glucose;product,H3_run_5;H3_run_4;H4_run_3;H3_run_6;T_run_2;H3_run_3;H1_run_4;H1_run_5;H4_run_4;H1_run_3;H2_run_3;H1_run_2;H4_run_2;H2_run_1;H4_run_1;H1_run_6;H3_run_2;H1_run_1;H2_run_2;H3_run_1;H4_run_5;H2_run_5;T_run_1;H2_run_4;H4_run_6;H2_run_6,0.054576,0,,,0.05393348818,0.054576,0.004238356097,0,
16,400,16,1,416,0.05343150533,0.06228776138;0.0334056766;0.06460107801,0.04506423554;0.03834066044;0.07050918409;0.108158951;0.02436970301;0.03190788008;0.04181540663;0.07962325628;0.09634372446;0.04092093745;0.01377476666;0.08510077939;0.06177824766;0.04077554241;0.09241499031;0.0810877477;0.03808396119;0.0100327502;0.01676186887;0.02944145103;0.1613608382;0.03889595577;0.08086918544;0.0154457747;0.01151873386;0.03482260616,biomass;glucose;product,H1_run_4;H3_run_2;H1_run_2;H1_run_3;H2_run_2;H4_run_3;H2_run_6;H3_run_4;H3_run_5;H3_run_1;H3_run_3;H4_run_5;H2_run_3;H3_run_6;H1_run_5;H4_run_4;H4_run_1;H4_run_6;H4_run_2;H1_run_1;H1_run_6;T_run_1;H2_run_1;H2_run_4;H2_run_5;T_run_2,0.049999,0,,,0.05343150533,0.049999,0.00443030889,0,
17,400,17,1,442,0.05290666344,0.06160529915;0.03311136839;0.06400332277,0.06999196998;0.03793536399;0.02397118026;0.009893739258;0.1601497199;0.038561747;0.03453242218;0.04048965961;0.1075190241;0.04067476478;0.04117759648;0.01370582979;0.09186776259;0.03744888792;0.06081021124;0.09555994541;0.02899279425;0.015203035;0.07967309037;0.08402224018;0.03149336817;0.08007308329;0.01133280519;0.01652366632;0.07917193765;0.04479740443,biomass;glucose;product,H1_run_2;H3_run_2;H2_run_2;H4_run_6;H1_run_6;T_run_1;T_run_2;H3_run_6;H1_run_3;H3_run_1;H2_run_6;H3_run_3;H1_run_5;H4_run_1;H2_run_3;H3_run_5;H1_run_1;H2_run_4;H2_run_1;H4_run_5;H4_run_3;H4_run_4;H2_run_5;H4_run_2;H3_run_4;H1_run_4,0.062840,0,,,0.05290666344,0.062840,0.004628756297,0,
18,400,18,1,468,0.05235804586,0.06089207336;0.03280350161;0.06337856262,0.09129233543;0.09474729575;0.04451656546;0.1068464345;0.02853044773;0.01363346832;0.03820967898;0.01113771065;0.1588847193;0.06945118542;0.05980007658;0.0235555638;0.01627322579;0.04050792591;0.08289336446;0.04019223041;0.0375165534;0.01494770792;0.03422645676;0.0784223912;0.03105725053;0.07900991668;0.04041798922;0.009747706605;0.07870030509;0.03679068661,biomass;glucose;product,H1_run_5;H3_run_5;H1_run_4;H1_run_3;H1_run_1;H3_run_3;T_run_1;H2_run_5;H1_run_6;H1_run_2;H2_run_3;H2_run_2;H4_run_2;H2_run_6;H4_run_5;H3_run_6;H3_run_2;H2_run_4;T_run_2;H2_run_1;H4_run_3;H4_run_4;H3_run_1;H4_run_6;H3_run_4;H4_run_1,0.053883,0,,,0.05235804586,0.053883,0.004833428128,0,
19,400,19,1,494,0.0517847638,0.06014703013;0.0324815285;0.06272573277,0.01600999936;0.03390381822;0.04015004633;0.03988266257;0.01093306014;0.03708364328;0.06888569343;0.07789675819;0.03610878032;0.05874698591;0.09390464393;0.1575638032;0.01355751154;0.03980533605;0.07711592188;0.09068731489;0.02805394116;0.03059861838;0.07820736803;0.02312226259;0.01467927413;0.1061396192;0.009594308452;0.08171271763;0.03783876662;0.04422100327,biomass;glucose;product,H4_run_2;T_run_2;H3_run_1;H3_run_6;H2_run_5;H3_run_2;H1_run_2;H4_run_4;H4_run_1;H2_run_3;H3_run_5;H1_run_6;H3_run_3;H2_run_6;H2_run_1;H1_run_5;H1_run_1;H4_run_3;H3_run_4;H2_run_2;H2_run_4;H1_run_3;H4_run_6;H4_run_5;T_run_1;H1_run_4,0.074444,0,,,0.0517847638,0.074444,0.005043905139,0,
20,400,20,1,520,0.05118596919,0.05936919731;0.03214491259;0.06204379767,0.03663622596;0.09303105137;0.1561849641;0.08047888481;0.0374479704;0.105396847;0.01347776297;0.0398704191;0.03956044435;0.03540293488;0.07575255388;0.0682944296;0.05765032361;0.07673204707;0.01439722208;0.09005117602;0.02756307508;0.02267087694;0.0301164924;0.01071851674;0.03356354458;0.00943322206;0.01573344908;0.0390687178;0.04390990243;0.07769214455,biomass;glucose;product,H3_run_2;H3_run_5;H1_run_6;H4_run_5;T_run_1;H1_run_3;H3_run_3;H3_run_1;H3_run_6;H4_run_1;H2_run_1;H1_run_2;H2_run_3;H4_run_4;H2_run_4;H1_run_5;H1_run_1;H2_run_2;H4_run_3;H2_run_5;T_run_2;H4_run_6;H4_run_2;H2_run_6;H1_run_4;H3_run_4,0.057912,0,,,0.05118596919,0.057912,0.005259648293,0,
