step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
106,400,106,1,2756,0.009017314179,0.01360400786;0.005029061942;0.008418872732,0.003556258103;0.03204191207;0.01308244504;0.001086453659;0.003700309872;0.01002609209;0.01112759449;0.01917478659;0.01176812483;0.007920652486;0.006690469043;0.01601612474;0.0007304755052;0.01490134154;0.007523948393;0.003447846056;0.004258235743;0.009749607375;0.005212712991;0.01270163265;0.01068441773;0.001923811253;0.007012405084;0.003264186071;0.009007356572;0.007840968662,biomass;glucose;product,H3_run_6;H1_run_6;H3_run_5;T_run_1;H4_run_1;H2_run_6;H4_run_5;H1_run_3;H2_run_5;H2_run_2;H1_run_2;H3_run_4;T_run_2;H1_run_5;H4_run_6;H3_run_3;H1_run_4;H4_run_4;H3_run_1;H2_run_4;H2_run_1;H3_run_2;H4_run_3;H1_run_1;H2_run_3;H4_run_2,0.162396,0,,,0.009017314179,0.162396,0.0007236867713,0,
107,400,107,1,2782,0.009000496963,0.01356870972;0.005028495477;0.008404285689,0.01100198344;0.009638838794;0.003651995424;0.01615185325;0.01056429662;0.01260899343;0.008906170032;0.00775274355;0.01167189603;0.009951477228;0.006744588016;0.01318994907;0.00430881621;0.001071691697;0.01497705878;0.007429170367;0.003462721795;0.003250350627;0.006943987326;0.00529016977;0.01924196362;0.03205869986;0.0007239184773;0.007852045581;0.001947887633;0.00361965442,biomass;glucose;product,H4_run_5;H4_run_4;H4_run_1;H3_run_4;H2_run_1;H2_run_4;H2_run_3;H4_run_2;H2_run_5;H2_run_6;H1_run_2;H3_run_5;H1_run_4;T_run_1;H1_run_5;H4_run_6;H3_run_3;H1_run_1;H4_run_3;H3_run_1;H1_run_3;H1_run_6;T_run_2;H2_run_2;H3_run_2;H3_run_6,0.160586,0,,,0.009000496963,0.160586,0.0006868806341,0,
108,400,108,1,2808,0.008984280784,0.01353537024;0.005027773129;0.008389698978,0.00368418456;0.003477528354;0.00435936936;0.01628836652;0.006800621859;0.006877172874;0.003235843457;0.01505358847;0.007333877851;0.007781562098;0.001972188792;0.005368654779;0.003602718003;0.01044534756;0.01930972324;0.01087824253;0.009878810343;0.01157432222;0.0007170622039;0.007665221207;0.001057077249;0.01251681009;0.008805798864;0.03207803555;0.009529871097;0.01329930124,biomass;glucose;product,H3_run_6;H3_run_3;H1_run_4;H3_run_4;H1_run_2;H4_run_3;H1_run_1;H1_run_5;H4_run_6;H2_run_2;H3_run_2;H3_run_1;H4_run_1;H2_run_1;H1_run_3;H4_run_5;H2_run_6;H2_run_5;T_run_2;H4_run_2;T_run_1;H2_run_4;H2_run_3;H1_run_6;H4_run_4;H3_run_5,0.166821,0,,,0.008984280784,0.166821,0.0006510053383,0,
109,400,109,1,2834,0.008968676627,0.0135040067;0.005026877338;0.008375145843,0.009422941195;0.001996622216;0.004409515307;0.03209889939;0.003749417365;0.009808679409;0.01147628189;0.01242587026;0.015130153;0.001042503412;0.006812460492;0.0007097856805;0.007238799828;0.01075660856;0.003492148429;0.007579028862;0.006858047247;0.01937724439;0.005447646962;0.003552976814;0.008706714857;0.003220905008;0.01032800509;0.007709939014;0.01340963742;0.01642476022,biomass;glucose;product,H4_run_4;H3_run_2;H1_run_4;H1_run_6;H3_run_6;H2_run_6;H2_run_5;H2_run_4;H1_run_5;T_run_1;H4_run_3;T_run_2;H4_run_6;H4_run_5;H3_run_3;H4_run_2;H1_run_2;H1_run_3;H3_run_1;H4_run_1;H2_run_3;H1_run_1;H2_run_1;H2_run_2;H3_run_5;H3_run_4,0.158286,0,,,0.008968676627,0.158286,0.0006162927011,0,
110,400,110,1,2860,0.008953690888,0.01347461086;0.005025808655;0.008360653146,0.01352014912;0.001027912892;0.01137857642;0.008609363029;0.006916362624;0.003205759352;0.01656019244;0.01021268608;0.003506477771;0.00974160933;0.03212036121;0.009318262349;0.004458899708;0.006750238294;0.00202109863;0.007494726154;0.005526659303;0.00381494613;0.01944375374;0.01520601651;0.003503241928;0.01063729634;0.00763786456;0.000702026996;0.007144595284;0.01233688689,biomass;glucose;product,H3_run_5;T_run_1;H2_run_5;H2_run_3;H1_run_2;H1_run_1;H3_run_4;H2_run_1;H3_run_3;H2_run_6;H1_run_6;H4_run_4;H1_run_4;H4_run_3;H3_run_2;H4_run_2;H3_run_1;H3_run_6;H1_run_3;H1_run_5;H4_run_1;H4_run_5;H2_run_2;T_run_2;H4_run_6;H2_run_4,0.264786,0,,,0.008953690888,0.264786,0.0005829682806,0,
111,400,111,1,2886,0.008939330728,0.01344715965;0.005024585219;0.008346247312,0.009216023127;0.003520424593;0.007565973724;0.002045531299;0.001013293289;0.01128193223;0.01009978412;0.01528048937;0.004507164078;0.007412808824;0.0166938862;0.006690992569;0.01950853139;0.003453948411;0.03214155645;0.0006937772996;0.01052050047;0.009678067669;0.007051855197;0.003880390485;0.008514156149;0.006975090086;0.005605240143;0.0122505;0.01363008795;0.003190593814,biomass;glucose;product,H4_run_4;H3_run_3;H2_run_2;H3_run_2;T_run_1;H2_run_5;H2_run_1;H1_run_5;H1_run_4;H4_run_2;H3_run_4;H4_run_3;H1_run_3;H4_run_1;H1_run_6;T_run_2;H4_run_5;H2_run_6;H4_run_6;H3_run_6;H2_run_3;H1_run_2;H3_run_1;H2_run_4;H3_run_5;H1_run_1,0.255420,0,,,0.008939330728,0.255420,0.0005512462886,0,
112,400,112,1,2912,0.008925596833,0.01342160569;0.005023235925;0.008331948882,0.009116386713;0.009618463173;0.01957091288;0.009989663553;0.007333707531;0.006635007443;0.01216727508;0.008421470903;0.01535293277;0.01040639121;0.0009986704886;0.004554080233;0.03216168728;0.005682953405;0.007033777877;0.006961098094;0.003533908953;0.007494844719;0.01373876632;0.01682513059;0.003405491589;0.002069835553;0.003945396007;0.003175591668;0.01118700074;0.0006850728822,biomass;glucose;product,H4_run_4;H2_run_6;H1_run_3;H2_run_1;H4_run_2;H4_run_3;H2_run_4;H2_run_3;H1_run_5;H4_run_5;T_run_1;H1_run_4;H1_run_6;H3_run_1;H1_run_2;H4_run_6;H3_run_3;H2_run_2;H3_run_5;H3_run_4;H4_run_1;H3_run_2;H3_run_6;H1_run_1;H2_run_5;T_run_2,0.161887,0,,,0.008925596833,0.161887,0.0005213242376,0,
113,400,113,1,2938,0.008912486064,0.01339788821;0.005021796113;0.008317773872,0.004599338716;0.0110943586;0.01695328327;0.009882654898;0.002093928709;0.007092001516;0.01029511235;0.0006759860013;0.003546870239;0.003160907037;0.0009841007522;0.008331642992;0.006582562636;0.007424996307;0.009563146033;0.01963029267;0.01208770447;0.009019492445;0.03218002371;0.01384555478;0.005759459827;0.007257790553;0.003358257295;0.006872774072;0.01542276248;0.004009635307,biomass;glucose;product,H1_run_4;H2_run_5;H3_run_4;H2_run_1;H3_run_2;H1_run_2;H4_run_5;T_run_2;H3_run_3;H1_run_1;T_run_1;H2_run_3;H4_run_3;H2_run_2;H2_run_6;H1_run_3;H2_run_4;H4_run_4;H1_run_6;H3_run_5;H3_run_1;H4_run_2;H4_run_1;H4_run_6;H1_run_5;H3_run_6,0.163097,0,,,0.008912486064,0.163097,0.0004933760396,0,
114,400,114,1,2964,0.008899983944,0.01337592012;0.005020302226;0.008303729482,0.008925447591;0.007149410515;0.000666615102;0.01968612734;0.004642700793;0.007356905713;0.009512408905;0.003312486744;0.01707777175;0.003559234195;0.01100450857;0.008244961965;0.009779051282;0.0009696621571;0.002117730232;0.01018678024;0.01201221115;0.003146670145;0.004072809495;0.006787264772;0.006533885584;0.005834378991;0.01394983733;0.007185366323;0.03219590345;0.01548945223,biomass;glucose;product,H4_run_4;H1_run_2;T_run_2;H1_run_3;H1_run_4;H2_run_2;H2_run_6;H4_run_1;H3_run_4;H3_run_3;H2_run_5;H2_run_3;H2_run_1;T_run_1;H3_run_2;H4_run_5;H2_run_4;H1_run_1;H3_run_6;H4_run_6;H4_run_3;H3_run_1;H3_run_5;H4_run_2;H1_run_6;H1_run_5,0.150555,0,,,0.008899983944,0.150555,0.0004675391401,0,
115,400,115,1,2990,0.008888076961,0.01335561114;0.005018794108;0.008289825633,0.01405120005;0.007205550448;0.01973793823;0.01555253654;0.0009554459228;0.0006570750678;0.01091788122;0.008161671064;0.002141162062;0.009679105544;0.0171980942;0.03220873547;0.00413464705;0.008834333286;0.004683959209;0.006489156044;0.009466488343;0.01008148533;0.003570961106;0.01194114591;0.006704902669;0.007290928559;0.003268469158;0.00711668603;0.005907454665;0.003132987813,biomass;glucose;product,H3_run_5;H1_run_2;H1_run_3;H1_run_5;T_run_1;T_run_2;H2_run_5;H2_run_3;H3_run_2;H2_run_1;H3_run_4;H1_run_6;H3_run_6;H4_run_4;H1_run_4;H4_run_3;H2_run_6;H4_run_5;H3_run_3;H2_run_4;H4_run_6;H2_run_2;H4_run_1;H4_run_2;H3_run_1;H1_run_1,0.175065,0,,,0.008888076961,0.175065,0.0004439162414,0,
116,400,116,1,3016,0.008876744837,0.01333685883;0.005017307892;0.008276067789,0.004194910535;0.01731381999;0.007260138648;0.01561161287;0.03221800266;0.003226417075;0.01187479109;0.01414915871;0.002164149158;0.004722938707;0.0009415481296;0.007051946366;0.01978531361;0.007227422334;0.008081966623;0.009583028871;0.0059783976;0.01083483717;0.003582012788;0.003119944401;0.009979290783;0.0006474879567;0.009425566771;0.008746207587;0.006625946805;0.006448508526,biomass;glucose;product,H3_run_6;H3_run_4;H1_run_2;H1_run_5;H1_run_6;H4_run_1;H2_run_4;H3_run_5;H3_run_2;H1_run_4;T_run_1;H4_run_2;H1_run_3;H2_run_2;H2_run_3;H2_run_1;H3_run_1;H2_run_5;H3_run_3;H1_run_1;H4_run_5;T_run_2;H2_run_6;H4_run_4;H4_run_6;H4_run_3,0.162301,0,,,0.008876744837,0.162301,0.0004225629097,0,
117,400,117,1,3042,0.008865963662,0.01331955519;0.005015875412;0.008262460388,0.007312883085;0.009490991927;0.009389774225;0.008005998843;0.01075566982;0.006550604103;0.03222326258;0.003186521415;0.006991292481;0.006412034765;0.0009280622858;0.003592360205;0.00604698004;0.01424333197;0.002186620144;0.01181336447;0.007166662958;0.0006379746831;0.009880229776;0.004253387387;0.008661104725;0.01566634314;0.01982791021;0.003107602767;0.01742459097;0.00475949624,biomass;glucose;product,H1_run_2;H2_run_1;H2_run_6;H2_run_3;H2_run_5;H4_run_6;H1_run_6;H4_run_1;H4_run_2;H4_run_3;T_run_1;H3_run_3;H3_run_1;H3_run_5;H3_run_2;H2_run_4;H2_run_2;T_run_2;H4_run_5;H3_run_6;H4_run_4;H1_run_5;H1_run_3;H1_run_1;H3_run_4;H1_run_4,0.148677,0,,,0.008865963662,0.148677,0.0004034846827,0,
118,400,118,1,3068,0.008855703153,0.01330358259;0.005014522219;0.008249004655,0.006379786245;0.007108869012;0.0079338734;0.004793520867;0.003601983011;0.009359190535;0.006113010827;0.003096005538;0.0198654541;0.01433340047;0.008579036929;0.01571645448;0.003148858195;0.0009150730476;0.0117570221;0.004309896433;0.007363529398;0.009403123325;0.002208508035;0.006934821072;0.03222414883;0.006479028577;0.0106806084;0.0006286479677;0.009784315623;0.01753011557,biomass;glucose;product,H4_run_3;H2_run_2;H2_run_3;H1_run_4;H3_run_3;H2_run_6;H3_run_1;H1_run_1;H1_run_3;H3_run_5;H4_run_4;H1_run_5;H4_run_1;T_run_1;H2_run_4;H3_run_6;H1_run_2;H2_run_1;H3_run_2;H4_run_2;H1_run_6;H4_run_6;H2_run_5;T_run_2;H4_run_5;H3_run_4,0.161321,0,,,0.008855703153,0.161321,0.000386628063,0,
119,400,119,1,3094,0.008845933011,0.01328882676;0.005013268447;0.008235703822,0.004824933363;0.01989774076;0.01441910583;0.006882583706;0.009691540588;0.003085176804;0.003113536678;0.004364285324;0.002229750862;0.007054205232;0.0157617392;0.03222037182;0.003610869084;0.006411325377;0.006351776729;0.007865653982;0.00933384844;0.0176301692;0.009319511371;0.0006196067712;0.007411861709;0.006176334094;0.008499996603;0.0009026513195;0.01060982192;0.0117058615,biomass;glucose;product,H1_run_4;H1_run_3;H3_run_5;H4_run_2;H4_run_5;H1_run_1;H4_run_1;H3_run_6;H3_run_2;H2_run_2;H1_run_5;H1_run_6;H3_run_3;H4_run_6;H4_run_3;H2_run_3;H2_run_6;H3_run_4;H2_run_1;T_run_2;H1_run_2;H3_run_1;H4_run_4;T_run_1;H2_run_5;H2_run_4,0.156891,0,,,0.008845933011,0.156891,0.0003718899625,0,
120,400,120,1,3120,0.008836620119,0.01327517222;0.005012127487;0.008222560653,0.01165992494;0.0006109323394;0.0008908508597;0.006347554727;0.002250291777;0.007457703137;0.00361901404;0.01450024951;0.003075123797;0.006236827653;0.007801365325;0.003080604879;0.007002786036;0.006834590094;0.01054342328;0.032211719;0.01992463447;0.008423958639;0.004416429812;0.01580205415;0.00924020698;0.009313736399;0.006327984459;0.009601878511;0.01772459281;0.004853685478,biomass;glucose;product,H2_run_4;T_run_2;T_run_1;H4_run_6;H3_run_2;H1_run_2;H3_run_3;H3_run_5;H1_run_1;H3_run_1;H2_run_3;H4_run_1;H2_run_2;H4_run_2;H2_run_5;H1_run_6;H1_run_3;H4_run_4;H3_run_6;H1_run_5;H2_run_1;H2_run_6;H4_run_3;H4_run_5;H3_run_4;H1_run_4,0.256197,0,,,0.008836620119,0.256197,0.0003591161563,0,
121,400,121,1,3146,0.008827733625,0.01326251188;0.005011107598;0.0082095814,0.002270080628;0.01994606692;0.01583731972;0.01781328983;0.009165226414;0.0008797064034;0.009298801499;0.007740996689;0.004879758914;0.003065838733;0.003626420772;0.007500915711;0.0083508828;0.009515287537;0.006287736;0.03219805442;0.006308355139;0.0006026858605;0.006954679487;0.006294401309;0.01161920294;0.01048155351;0.00679081144;0.01457669095;0.004466232652;0.003050077976,biomass;glucose;product,H3_run_2;H1_run_3;H1_run_5;H3_run_4;H2_run_1;T_run_1;H2_run_6;H2_run_3;H1_run_4;H1_run_1;H3_run_3;H1_run_2;H4_run_4;H4_run_5;H4_run_6;H1_run_6;H4_run_3;T_run_2;H2_run_2;H3_run_1;H2_run_4;H2_run_5;H4_run_2;H3_run_5;H3_run_6;H4_run_1,0.164094,0,,,0.008827733625,0.164094,0.0003481183871,0,
122,400,122,1,3172,0.008819236627,0.01325073032;0.005010210077;0.008196769482,0.01789622327;0.01158363765;0.003021941946;0.004513622586;0.002289073457;0.00909455414;0.006348995151;0.01464834572;0.009289035002;0.00690991117;0.006751184038;0.004903163996;0.000869233214;0.007684505308;0.008280715944;0.003633098941;0.01042406468;0.006231851418;0.0199620351;0.006292804506;0.007541400017;0.03217931645;0.0005949076544;0.00305730058;0.009431712692;0.01586751766,biomass;glucose;product,H3_run_4;H2_run_4;H4_run_1;H3_run_6;H3_run_2;H2_run_1;H3_run_1;H3_run_5;H2_run_6;H2_run_2;H4_run_2;H1_run_4;T_run_1;H2_run_3;H4_run_4;H3_run_3;H2_run_5;H4_run_6;H1_run_3;H4_run_3;H1_run_2;H1_run_6;T_run_2;H1_run_1;H4_run_5;H1_run_5,0.159848,0,,,0.008819236627,0.159848,0.0003386555539,0,
123,400,123,1,3198,0.008811092407,0.01323972189;0.005009428768;0.008184126557,0.01155312692;0.01471518187;0.01589268665;0.007579093714;0.0005876177537;0.00671561251;0.01797341111;0.01037100617;0.002307232693;0.006400576723;0.0008594279753;0.009284142715;0.00821339443;0.03215551506;0.01997259863;0.003049477095;0.002996157829;0.009351088771;0.006179850772;0.006281220424;0.009028145984;0.006868469103;0.004923938096;0.004558543881;0.003639064502;0.007631821197,biomass;glucose;product,H2_run_4;H3_run_5;H1_run_5;H1_run_2;T_run_2;H4_run_2;H3_run_4;H2_run_5;H3_run_2;H3_run_1;T_run_1;H2_run_6;H4_run_4;H1_run_6;H1_run_3;H1_run_1;H4_run_1;H4_run_5;H4_run_6;H4_run_3;H2_run_1;H2_run_2;H1_run_4;H3_run_6;H3_run_3;H2_run_3,0.138811,0,,,0.008811092407,0.138811,0.000330493725,0,
124,400,124,1,3224,0.008803273987,0.01322939774;0.005008758688;0.008171665535,0.0008502707118;0.01804492251;0.006449139065;0.01152752789;0.004600988532;0.006830308119;0.01591292002;0.009284049421;0.007613982627;0.002324527396;0.006273465318;0.003042326554;0.01032230791;0.01997787595;0.002972665254;0.01477721682;0.008148845696;0.003644339333;0.00896593219;0.006683971381;0.004942143894;0.006131654944;0.0005808176226;0.007582848426;0.009273342509;0.03212673357,biomass;glucose;product,T_run_1;H3_run_4;H3_run_1;H2_run_4;H3_run_6;H2_run_2;H1_run_5;H2_run_6;H1_run_2;H3_run_2;H4_run_3;H1_run_1;H2_run_5;H1_run_3;H4_run_1;H3_run_5;H4_run_4;H3_run_3;H2_run_1;H4_run_2;H1_run_4;H4_run_6;T_run_2;H2_run_3;H4_run_5;H1_run_6,0.145763,0,,,0.008803273987,0.145763,0.0003233867497,0,
125,400,125,1,3250,0.008795750958,0.01321966831;0.005008189123;0.008159395445,0.01592836218;0.004640942833;0.006087159621;0.00626937833;0.003648950635;0.007646047282;0.008907820232;0.009198394674;0.01811087346;0.0008417275547;0.009288566238;0.008086990104;0.01997804056;0.004957867307;0.01027786501;0.002340933157;0.006795353219;0.007537470202;0.002951385815;0.00665611048;0.03209312154;0.01483451333;0.01150666069;0.0005744927844;0.003035799374;0.006494698296,biomass;glucose;product,H1_run_5;H3_run_6;H4_run_6;H4_run_3;H3_run_3;H1_run_2;H2_run_1;H4_run_5;H3_run_4;T_run_1;H2_run_6;H4_run_4;H1_run_3;H1_run_4;H2_run_5;H3_run_2;H2_run_2;H2_run_3;H4_run_1;H4_run_2;H1_run_6;H3_run_5;H2_run_4;T_run_2;H1_run_1;H3_run_1,0.139899,0,,,0.008795750958,0.139899,0.0003170974318,0,
126,400,126,1,3276,0.008788499786,0.01321045977;0.005007708772;0.008147330812,0.0005686183736;0.004678420445;0.00676350371;0.01488717581;0.03205489011;0.008027743146;0.009297477047;0.002356431877;0.006268777497;0.01997331646;0.007675340995;0.0008337540506;0.004971215293;0.006046238851;0.008853697519;0.003652930415;0.01023754203;0.009126161832;0.006631910626;0.01593920429;0.003029839668;0.007495552791;0.01817142209;0.006537291127;0.01149031208;0.002932226287,biomass;glucose;product,T_run_2;H3_run_6;H2_run_2;H3_run_5;H1_run_6;H4_run_4;H2_run_6;H3_run_2;H4_run_3;H1_run_3;H1_run_2;T_run_1;H1_run_4;H4_run_6;H2_run_1;H3_run_3;H2_run_5;H4_run_5;H4_run_2;H1_run_5;H1_run_1;H2_run_3;H3_run_4;H3_run_1;H2_run_4;H4_run_1,0.135300,0,,,0.008788499786,0.135300,0.0003114097367,0,
127,400,127,1,3302,0.008781492229,0.01320169534;0.005007301518;0.008135479829,0.009056557496;0.004982313547;0.009310541114;0.007701919151;0.003024386605;0.01822676402;0.006576972408;0.004713451422;0.002915081451;0.0159456798;0.0005631534054;0.01996397342;0.007971016362;0.00673463726;0.0008262987349;0.007456947415;0.006271461794;0.03201230721;0.008803433761;0.002371011436;0.006611064698;0.003656314936;0.01020117714;0.006008748198;0.01147823904;0.01493534612,biomass;glucose;product,H4_run_5;H1_run_4;H2_run_6;H1_run_2;H1_run_1;H3_run_4;H3_run_1;H3_run_6;H4_run_1;H1_run_5;T_run_2;H1_run_3;H4_run_4;H2_run_2;T_run_1;H2_run_3;H4_run_3;H1_run_6;H2_run_1;H3_run_2;H4_run_2;H3_run_3;H2_run_5;H4_run_6;H2_run_4;H3_run_5,0.140425,0,,,0.008781492229,0.140425,0.0003061300112,0,
128,400,128,1,3328,0.00877471107,0.01319331966;0.005006954282;0.008123859266,0.008989493569;0.002384665262;0.008756883362;0.005974528445;0.007916717888;0.006277213417;0.006613812535;0.006593428449;0.009327495896;0.0319656916;0.0008193067109;0.007421492676;0.007725880333;0.0005580583136;0.003659144136;0.004991303918;0.01995032141;0.006708613564;0.01827712722;0.004746080045;0.0101685859;0.01594805924;0.0114701727;0.0149791988;0.003019375714;0.002899836734,biomass;glucose;product,H4_run_5;H3_run_2;H2_run_1;H4_run_6;H4_run_4;H4_run_3;H3_run_1;H4_run_2;H2_run_6;H1_run_6;T_run_1;H2_run_3;H1_run_2;T_run_2;H3_run_3;H1_run_4;H1_run_3;H2_run_2;H3_run_4;H3_run_6;H2_run_5;H1_run_5;H2_run_4;H3_run_5;H1_run_1;H4_run_1,0.136925,0,,,0.00877471107,0.136925,0.0003011041861,0,
129,400,129,1,3354,0.008768139324,0.01318528085;0.005006653006;0.00811248412,0.009348059316;0.01501893679;0.0008127229729;0.006647895199;0.008713887081;0.007389016938;0.0319154073;0.01594664549;0.002397391883;0.006578775113;0.01993270587;0.00594340819;0.003661461082;0.0005532890602;0.004776362882;0.006685277747;0.007864752919;0.00499834205;0.003014740051;0.006285799884;0.007747338462;0.01146582189;0.0101395649;0.01832276755;0.002886370391;0.008924881419,biomass;glucose;product,H2_run_6;H3_run_5;T_run_1;H3_run_1;H2_run_1;H2_run_3;H1_run_6;H1_run_5;H3_run_2;H4_run_2;H1_run_3;H4_run_6;H3_run_3;T_run_2;H3_run_6;H2_run_2;H4_run_4;H1_run_4;H1_run_1;H4_run_3;H1_run_2;H2_run_4;H2_run_5;H3_run_4;H4_run_1;H4_run_5,0.140234,0,,,0.008768139324,0.140234,0.0002962066083,0,
130,400,130,1,3380,0.008761763574,0.01317753692;0.005006384216;0.008101369585,0.01146487652;0.015054787;0.00301041114;0.01991150099;0.002409194387;0.01594176859;0.006664462809;0.00629697606;0.0008065064614;0.01011389551;0.008674273816;0.0005488024819;0.008862632036;0.007766426748;0.0183639639;0.005915206617;0.00366331136;0.009371932299;0.004804366743;0.005003594757;0.00667931499;0.002874555463;0.00656687007;0.007815024437;0.03186185733;0.007359340404,biomass;glucose;product,H2_run_4;H3_run_5;H1_run_1;H1_run_3;H3_run_2;H1_run_5;H2_run_2;H4_run_3;T_run_1;H2_run_5;H2_run_1;T_run_2;H4_run_5;H1_run_2;H3_run_4;H4_run_6;H3_run_3;H2_run_6;H3_run_6;H1_run_4;H3_run_1;H4_run_1;H4_run_2;H4_run_4;H1_run_6;H2_run_3,0.235754,0,,,0.008761763574,0.235754,0.0002913481458,0,
131,400,131,1,3406,0.008755572054,0.01317005016;0.005006135841;0.008090530158,0.005007237438;0.0184010135;0.00664599289;0.0150869957;0.00242007987;0.01593378045;0.03180547717;0.01146701051;0.006708175182;0.002864261469;0.007332276858;0.004830166793;0.008637862097;0.003664742453;0.005889736041;0.01009134712;0.01988710448;0.008802656305;0.006557469619;0.003006319849;0.007767433548;0.007783294527;0.0005445649516;0.006310485651;0.0008005877051;0.009398801224,biomass;glucose;product,H1_run_4;H3_run_4;H2_run_2;H3_run_5;H3_run_2;H1_run_5;H1_run_6;H2_run_4;H3_run_1;H4_run_1;H2_run_3;H3_run_6;H2_run_1;H3_run_3;H4_run_6;H2_run_5;H1_run_3;H4_run_5;H4_run_2;H1_run_1;H4_run_4;H1_run_2;T_run_2;H4_run_3;T_run_1;H2_run_6,0.137173,0,,,0.008755572054,0.137173,0.0002864710935,0,
132,400,132,1,3432,0.008749549856,0.01316278474;0.005005892872;0.008079971955,0.003002397189;0.0005405293083;0.01007168046;0.006734585582;0.004853844579;0.0007949378135;0.01592304973;0.00586680433;0.01843422735;0.005009451542;0.007798104061;0.008604461458;0.01147188568;0.01985993193;0.006550323407;0.002855355959;0.008744865256;0.007307635239;0.003665803146;0.00243005887;0.006629685885;0.007721879708;0.01511582403;0.009428340411;0.006326063753;0.03174656956,biomass;glucose;product,H1_run_1;T_run_2;H2_run_5;H3_run_1;H3_run_6;T_run_1;H1_run_5;H4_run_6;H3_run_4;H1_run_4;H1_run_2;H2_run_1;H2_run_4;H1_run_3;H4_run_2;H4_run_1;H4_run_5;H2_run_3;H3_run_3;H3_run_2;H2_run_2;H4_run_4;H3_run_5;H2_run_6;H4_run_3;H1_run_6,0.144078,0,,,0.008749549856,0.144078,0.0002815465799,0,
133,400,133,1,3458,0.008743700106,0.01315573197;0.005005650286;0.008069718063,0.006343439134;0.01590995655;0.01983041098;0.007811027376;0.00078952458;0.008573873824;0.002998575003;0.01147915515;0.003666542931;0.007285221176;0.007678261011;0.0005366737193;0.004875486275;0.005010422001;0.006758660502;0.006545176841;0.006615355817;0.009460214897;0.002847705815;0.005846211122;0.01846385493;0.002439144787;0.0316859438;0.01514154364;0.00868917033;0.01005465058,biomass;glucose;product,H4_run_3;H1_run_5;H1_run_3;H1_run_2;T_run_1;H2_run_1;H1_run_1;H2_run_4;H3_run_3;H2_run_3;H4_run_4;T_run_2;H3_run_6;H1_run_4;H3_run_1;H4_run_2;H2_run_2;H2_run_6;H4_run_1;H4_run_6;H3_run_4;H3_run_2;H1_run_6;H3_run_5;H4_run_5;H2_run_5,0.149252,0,,,0.008743700106,0.149252,0.0002765804896,0,
134,400,134,1,3484,0.008738016826,0.01314887183;0.005005400213;0.008059778431,0.006362336305;0.01004000948;0.002994786616;0.0076364741;0.008635483115;0.01516443294;0.01849036275;0.0005329769331;0.0114884665;0.008545894404;0.006780517101;0.002841178332;0.00244735346;0.01589488766;0.004895181263;0.007264838037;0.005827774473;0.00654177324;0.006602814876;0.0007843240896;0.003667011333;0.03162392334;0.007822243458;0.01979897608;0.0050103349;0.009494082697,biomass;glucose;product,H4_run_3;H2_run_5;H1_run_1;H4_run_4;H4_run_5;H3_run_5;H3_run_4;T_run_2;H2_run_4;H2_run_1;H3_run_1;H4_run_1;H3_run_2;H1_run_5;H3_run_6;H2_run_3;H4_run_6;H4_run_2;H2_run_2;T_run_1;H3_run_3;H1_run_6;H1_run_2;H1_run_3;H1_run_4;H2_run_6,0.134283,0,,,0.008738016826,0.134283,0.000271594677,0,
135,400,135,1,3510,0.008732492763,0.0131421877;0.005005133534;0.008050157057,0.0005294246144;0.01851400848;0.006800273601;0.0007793205382;0.005811294763;0.008520314241;0.01149946514;0.007246288303;0.03156100845;0.007831935326;0.0158782314;0.006539856153;0.01002750884;0.00858371516;0.009529597438;0.01976606307;0.004913020558;0.006382477881;0.002835642336;0.002454702618;0.006591875535;0.007596414453;0.01518477314;0.002990967353;0.003667257334;0.005009375112,biomass;glucose;product,T_run_2;H3_run_4;H3_run_1;T_run_1;H4_run_6;H2_run_1;H2_run_4;H2_run_3;H1_run_6;H1_run_2;H1_run_5;H4_run_2;H2_run_5;H4_run_5;H2_run_6;H1_run_3;H3_run_6;H4_run_3;H4_run_1;H3_run_2;H2_run_2;H4_run_4;H3_run_5;H1_run_1;H3_run_3;H1_run_4,0.134382,0,,,0.008732492763,0.134382,0.000266630387,0,
136,400,136,1,3536,0.008727125825,0.01313567258;0.005004844836;0.008040860057,0.007229374827;0.006403586992;0.007840287327;0.0007745055439;0.008496918776;0.01973210388;0.03149769978;0.000526008811;0.006582352474;0.005796611283;0.01520284466;0.01001690254;0.01151179447;0.002461211454;0.01586037464;0.006539171358;0.007557976632;0.003667328793;0.01853511719;0.004929095478;0.008533778109;0.002987054992;0.009566430408;0.002830969181;0.006818047782;0.005007724079,biomass;glucose;product,H2_run_3;H4_run_3;H1_run_2;T_run_1;H2_run_1;H1_run_3;H1_run_6;T_run_2;H2_run_2;H4_run_6;H3_run_5;H2_run_5;H2_run_4;H3_run_2;H1_run_5;H4_run_2;H4_run_4;H3_run_3;H3_run_4;H3_run_6;H4_run_5;H1_run_1;H2_run_6;H4_run_1;H3_run_1;H1_run_4,0.128665,0,,,0.008727125825,0.128665,0.0002617453609,0,
