process,total,biomass,glucose,product,split
run_1,0.000169503,0.000232515,0.000237651,3.83409e-05,train
run_2,0.000271133,0.000381222,0.000276052,0.000156126,train
run_3,0.000194153,0.000143707,0.000273987,0.000164766,train
total (mean),0.000211596,0.000252481,0.000262563,0.000119744,
train (mean),0.000211596,0.000252481,0.000262563,0.000119744,train
