process,total,biomass,glucose,product,gp_nll,split
run_1,0.0635706,0.0098707,0.013883,0.0134419,0.217087,train
run_2,0.0966442,0.0551818,0.0580269,0.0562814,0.217087,train
run_3,0.168569,0.145836,0.159122,0.152231,0.217087,train
total (mean),0.109595,0.0702963,0.0770105,0.0739849,0.217087,
train (mean),0.109595,0.0702963,0.0770105,0.0739849,0.217087,train
