step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
26,400,26,1,78,0.04321506245,0.0503486798;0.03608144509,0.06054002279;0.03238142814;0.03672373641,biomass;glyco_frac,run_2;run_3;run_1,0.002271,0,,,0.04321506245,0.002271,0.06484580076,0,
27,400,27,1,81,0.04145669888,0.04871394556;0.0341994522,0.03515591729;0.05825555071;0.03095862864,biomass;glyco_frac,run_1;run_2;run_3,0.002678,0,,,0.04145669888,0.002678,0.06425652625,0,
28,400,28,1,84,0.03969571639,0.04699466634;0.03239676645,0.03359633385;0.02955710651;0.05593370882,biomass;glyco_frac,run_1;run_3;run_2,0.002992,0,,,0.03969571639,0.002992,0.06379120123,0,
29,400,29,1,87,0.03792912561,0.04518641157;0.03067183966,0.02817493051;0.03204254765;0.05356989868,biomass;glyco_frac,run_3;run_1;run_2,0.002943,0,,,0.03792912561,0.002943,0.06345450649,0,
30,400,30,1,90,0.03615392652,0.04328485694;0.0290229961,0.02681012399;0.03049210441;0.05115955116,biomass;glyco_frac,run_3;run_1;run_2,0.002318,0,,,0.03615392652,0.002318,0.06324875834,0,
31,400,31,1,93,0.03436718446,0.04128592275;0.02744844617,0.02894259534;0.02546070592;0.04869825211,biomass;glyco_frac,run_1;run_3;run_2,0.003031,0,,,0.03436718446,0.003031,0.06317308171,0,
32,400,32,1,96,0.03256613091,0.03918596168;0.02594630014,0.04618191095;0.02739173767;0.02412474412,biomass;glyco_frac,run_2;run_1;run_3,0.002653,0,,,0.03256613091,0.002653,0.06322239244,0,
33,400,33,1,99,0.03074829667,0.03698201133;0.02451458201,0.0436069852;0.02583748033;0.02280042448,biomass;glyco_frac,run_2;run_1;run_3,0.003080,0,,,0.03074829667,0.003080,0.06338614727,0,
34,400,34,1,102,0.02891168694,0.03467213086;0.02315124303,0.02148614076;0.04097077805;0.02427814203,biomass;glyco_frac,run_3;run_2;run_1,0.002752,0,,,0.02891168694,0.002752,0.06364680655,0,
35,400,35,1,105,0.02705501123,0.03225584733;0.02185417514,0.02018061134;0.02271259169;0.03827183067,biomass;glyco_frac,run_3;run_1;run_2,0.002244,0,,,0.02705501123,0.002244,0.06397793663,0,
36,400,36,1,108,0.02517798378,0.0297347438;0.02062122377,0.0188830307;0.02114048328;0.03551043736,biomass;glyco_frac,run_3;run_1;run_2,0.002677,0,,,0.02517798378,0.002677,0.06434185838,0,
37,400,37,1,111,0.02328171501,0.02711322974;0.01945020029,0.03268931866;0.01956256077;0.01759326561,biomass;glyco_frac,run_2;run_1;run_3,0.002540,0,,,0.02328171501,0.002540,0.06468672767,0,
38,400,38,1,114,0.02136921883,0.02439954388;0.01833889377,0.02981449581;0.01798105215;0.01631210852,biomass;glyco_frac,run_2;run_1;run_3,0.002304,0,,,0.02136921883,0.002304,0.06494292225,0,
39,400,39,1,117,0.01944606547,0.02160704885;0.01728508208,0.01504160271;0.02689641842;0.01640017528,biomass;glyco_frac,run_3;run_2;run_1,0.002274,0,,,0.01944606547,0.002274,0.06501862394,0,
40,400,40,1,120,0.01752121322,0.01875588419;0.01628654226,0.01378545595;0.01482678062;0.02395140309,biomass;glyco_frac,run_3;run_1;run_2,0.002199,0,,,0.01752121322,0.002199,0.06479456203,0,
41,400,41,1,123,0.01560805118,0.01587504228;0.01534106009,0.01254955876;0.01327115499;0.02100343981,biomass;glyco_frac,run_3;run_1;run_2,0.002250,0,,,0.01560805118,0.002250,0.06411810179,0,
42,400,42,1,126,0.01372567364,0.01300490839;0.01444643889,0.01134261792;0.01174800079;0.01808640222,biomass;glyco_frac,run_3;run_1;run_2,0.003126,0,,,0.01372567364,0.003126,0.06279739669,0,
43,400,43,1,129,0.01190037001,0.01020023253;0.01360050748,0.01524663572;0.01027757602;0.01017689828,biomass;glyco_frac,run_2;run_1;run_3,0.003137,0,,,0.01190037001,0.003137,0.06059758508,0,
44,400,44,1,132,0.0101672245,0.007533321669;0.01280112734,0.01254574202;0.008886909373;0.009069022109,biomass;glyco_frac,run_2;run_1;run_3,0.002380,0,,,0.0101672245,0.002380,0.05724404485,0,
45,400,45,1,135,0.00857151676,0.005096834718;0.0120461988,0.01006302859;0.007610845827;0.008040675865,biomass;glyco_frac,run_2;run_1;run_3,0.002317,0,,,0.00857151676,0.002317,0.05244548939,0,
46,400,46,1,138,0.007169249804,0.003004832682;0.01133366693,0.00649239004;0.007896462983;0.00711889639,biomass;glyco_frac,run_1;run_2;run_3,0.003458,0,,,0.007169249804,0.003458,0.04597194259,0,
